The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Temperature Vostok and GISP2,
Reference,"Alley, R.B..  (2004) GISP2 Ice Core Temperature and Accumulation Data",
Reference,"Jouzel et al. (1987, 1993 and 1996) ",
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,
File,gisp2_temp_accum_alley2000.txt,
File,vostok_deld.txt,
Age,Vostok,GISP2
0,0,
-13539,-4.02
-13600,-3.57
-13659,-3.27
-13718,-2.91
-13774,-2.19
-13828,-2.04
-13883,-2.24
-13938,-2.06
-13992,-2.32
-14048,-2.57
-14105,-2.83
-14163,-3.08
-14221,-3.34
-14281,-3.6
-14342,-3.85
-14404,-4.11
-14466,-3.64
-14526,-3.82
-14589,-4.34
-14651,-3.98
-14713,-3.92
-14775,-4.14
-14839,-4.52
-14904,-4.68
-14968,-4.44
-15032,-4.66
-15099,-5.32
-15167,-5.4
-15234,-5
-15300,-4.81
-15366,-4.74
-15432,-5.15
-15501,-5.71
-15570,-5.6
-15639,-5.44
-15708,-5.57
-15777,-5.29
-15845,-5.35
-15915,-6.19
-15987,-5.99
-16057,-5.75
-16128,-6.08
-16201,-6.34
-16275,-6.74
-16350,-6.88
-16426,-6.88
-16502,-6.74
-16577,-6.77
-16653,-6.97
-16729,-7.16
-16808,-7.49
-16889,-8.33
-16974,-8.51
-17058,-8.04
-17139,-7.6
-17219,-7.53
-17298,-7.45
-17379,-8.09
-17462,-8.27
-17544,-7.68
-17625,-7.78
-17706,-7.84
-17787,-7.82
-17868,-7.72
-17949,-7.75
-18031,-8.19
-18116,-8.63
-18201,-8.16
-18283,-7.89
-18365,-7.74
-18446,-7.97
-18530,-8.5
-18615,-8.43
-18701,-8.73
-18787,-8.46
-18870,-7.58
-18950,-7.63
-19032,-8.11
-19116,-8.26
-19199,-8.03
-19282,-7.81
-19362,-7.54
-19443,-7.7
-19525,-8.15
-19610,-8.45
-19696,-8.71
-19782,-8.52
-19868,-8.61
-19953,-7.99
-20035,-7.62
-20116,-7.84
-20197,-7.52
-20278,-7.82
-20361,-8.11
-20444,-8.08
-20528,-8.03
-20611,-8.04
-20694,-7.96
-20777,-7.87
-20859,-7.94
-20943,-8.12
-21026,-8.1
-21110,-7.93
-21192,-7.91
-21275,-7.91
-21358,-8
-21442,-8.09
-21525,-7.73
-21605,-7.36
-21686,-7.66
-21769,-8.24
-21854,-8.33
-21939,-8.12
-22023,-8.15
-22108,-8.41
-22196,-8.82
-22284,-8.82
-22371,-8.45
-22457,-8.3
-22543,-8.37
-22629,-8.45
-22716,-8.52
-22803,-8.59
-22888,-7.97
-22972,-7.92
-23057,-8.5
-23145,-8.8
-23234,-8.89
-23324,-9.01
-23412,-8.54
-23497,-7.76
-23581,-8.2
-23668,-8.63
-23755,-8.63
-23843,-8.63
-23931,-8.44
-24017,-8.26
-24102,-8.03
-24186,-7.87
-24272,-8.68
-24363,-9.39
-24453,-8.46
-24537,-7.53
-24619,-7.51
-24700,-7.5
-24781,-7.25
-24860,-7
-24941,-7.57
-25024,-8.14
-25109,-7.98
-25193,-7.83
-25277,-7.68
-25360,-7.89
-25445,-8.27
-25531,-8.13
